ad_am,m
1.323761364683342, 0.5114366188199273
1.3249463732234652, 0.5002627003326277
1.6953477516324273, 0.4794253312103114
2.168963473550423, 0.41536395335651644
2.1075842170726866, 0.4551931745161777
3.137888845807661, 0.47477468485409724
3.142754456987545, 0.4606863164310553
3.145158359930167, 0.4465975936460538
2.9432185530338106, 0.42713532610749927
2.9222342344364223, 0.4125574066374357
2.959151884851262, 0.41061940108104
3.6743219800683202, 0.42141060865210145
3.680430405082967, 0.4102373988887208
3.963484993361619, 0.4000757153386755
3.995483213873979, 0.3991086615512549
3.98313680025325, 0.3898761150589657
