ad_am,m
2.0237127211218624, 0.41291389476867246
2.0310240942508315, 0.39493923873601444
1.9952814859460042, 0.3832741745728756
1.9902902977467303, 0.36675523746976113
1.8882111306272678, 0.38665957155276676
2.056776353013021, 0.37162310770713636
2.0838710899110784, 0.37551364766026596
2.064103672430167, 0.35753509364605385
2.115857350707306, 0.37163161239416387
2.109639294961445, 0.3560841586029633
2.1490684857640985, 0.36629226356970057
2.152701249539329, 0.35171788771923196
2.188449837702222, 0.36484044262171145
2.211806166665879, 0.3575563553636226
2.2266322280980684, 0.37116172843589357
2.230380602462579, 0.38476550687934685
2.1983744088061306, 0.3837892396809798
2.1614727046794675, 0.3896138872089505
2.192301862939881, 0.403707393880405
2.227986665950068, 0.401283380896583
