ad_am,m
0.6266145616778802, 0.6935224996220138
0.6413230192347671, 0.6784638881539158
0.647429450963392, 0.6668048481440882
0.6547627502386038, 0.6541743248223464
0.6682323805327713, 0.637172215187481
0.6804751432803522, 0.6211415888645297
0.6976393292164349, 0.6046258410190504
0.7209398461714733, 0.5837385068604474
0.7418005810354928, 0.5681949510508013
0.7638802103020108, 0.5497365909434532
0.7896603750685098, 0.5332220833648321
0.8154445264070531, 0.5176792362791048
0.847380955052729, 0.5016514448518293
0.878090516151818, 0.48659513673646804
0.9051214678971687, 0.47493910880329604
0.9358569417145449, 0.4661985938917447
0.9678073233623752, 0.4535716141895978
1.0046871013427956, 0.44240283395071056
1.0391211173741306, 0.4351203413214393
1.0907751313501661, 0.4249253477472028
1.149802310321855, 0.41181643578016325
1.2014662907280012, 0.4040505934381615
1.2519113767316488, 0.3991995553938614
1.3220321890591924, 0.3899788800272149
1.360172720448575, 0.3860977306660115
1.3946246760541086, 0.3831877102547625
1.4352289089667751, 0.3797927455019654
1.4844471274238358, 0.3759131907695795
1.5201359170060664, 0.3744608382786513
1.5668964137979096, 0.37155258967719984
1.5964309327869857, 0.3700993512813727
1.6431914295788288, 0.3671911026799213
1.687494204705454, 0.36525416020940416
1.7281103973342526, 0.3647741769352887
1.7785674430540328, 0.36283812036967034
1.7945645600241908, 0.361868763229513
1.9127066225525398, 0.35702747013909886
1.954555662585992, 0.35703349429240994
1.9840901815750676, 0.3555802558965828
2.029627797392368, 0.35461515109993946
2.0899416424913064, 0.35510966321439363
2.1305538485480606, 0.3536580194473843
2.1883980122656483, 0.35220885621409126
2.2610223918369177, 0.35319097038478986
2.3188645622684834, 0.35125597690504984
2.3828669831512697, 0.35077936006954946
2.4370165912269424, 0.3488438350468701
2.5047155610376657, 0.34933941024720283
2.59456392512568, 0.34838068396583
2.6856471299043694, 0.3483937953583307
2.7705820439479694, 0.3498635115852735
2.8555069915614597, 0.3489040765799817
2.934279661867818, 0.3484295859162382
3.0056731873204563, 0.349411522905957
3.0745990246777666, 0.3489356147943754
3.1509119800328844, 0.34894660001511923
3.2186129431296298, 0.34992800546189884
3.30353789074312, 0.348968570456607
3.3933862548311344, 0.3480098441752343
3.480778890539953, 0.34850825427124266
3.550935582015894, 0.34803252334064105
3.6309430930129265, 0.348529870350771
3.6924857989444733, 0.34853872939975794
3.772493309941506, 0.349036076409888
3.857420250841019, 0.34856247165104315
3.9263381150542407, 0.3461432425536739
4.003877937955945, 0.34518274446250374
