ad_am,m
1.8049994123497504, 0.5051901033791957
1.6634531819932152, 0.5056555578129724
1.611765282154804, 0.507591437197611
1.5378482565982194, 0.4915484082060779
1.537782478159491, 0.4755160100733292
1.503346468842134, 0.4823126724561535
1.4983612605009258, 0.4672512260923798
1.6433827850369482, 0.41383080633882663
1.671732295485901, 0.4235514864302993
1.8205879056853833, 0.4046255457174175
1.7654027855212426, 0.45417225771091607
1.7949054119339656, 0.44494573537193827
1.8219682562556696, 0.44106299138191707
1.8601067943590297, 0.43669601177426665
1.9165466880740665, 0.392979439919111
1.9201475592729436, 0.37063178012549136
1.848690248667599, 0.3541032752494707
1.9118564860641252, 0.4498208700294828
1.8835887003420773, 0.46001923004233447
1.8442013685458871, 0.4600135602509827
1.8196400981818868, 0.47361326353190203
1.907116451903632, 0.4945165439786815
1.9587086740129838, 0.4692608127645901
2.0091876458790066, 0.4726688889098881
2.0693818938166197, 0.4440135862375263
