ad_am,kwm_kfm
2.2489666345813792, 1.5565421622928672
2.290396523397836, 1.5553413199634856
2.265068650258813, 1.518442032381113
2.3312154282764395, 1.4220213109126387
2.470107610840511, 1.6960668685675167
2.8241324157528216, 1.7703906828056173
2.672424068417773, 1.6049776550747132
2.78929390450321, 1.5969110101894515
2.976734456542731, 1.489055983215546
3.129824248916927, 1.633192686211594
3.100988913748225, 1.7978398093315886
3.0200801424524575, 1.9021271043348273
3.209979128167342, 2.00588377532153
3.2457268663617604, 1.7359746824825208
3.318295189122828, 1.7481487963357532
3.44128625581276, 1.7837370573667315
3.419213166600303, 1.8106522460649785
3.454894628570954, 1.8464115825985559
3.309391392686107, 2.062791854859212
3.573131411771588, 2.1339335819036913
3.8110671973597205, 2.0651678574812653
3.8641803417471325, 2.0303541998155654
3.924697783008535, 1.9966456981811835
3.903080342834477, 2.122090434942896
3.751450698515153, 2.2936961473320454
2.305443297324977, 1.6090557139683872
