ad_am,kwm_kfm
0.7112432953574019, 1.519247288499884
0.7645221303042333, 1.5202625574027175
0.9314677957097535, 1.4605932446923358
1.2659442213087375, 1.4677755162167045
1.0955055917974885, 1.4121262707042002
1.1067901544598457, 1.2923001008123496
0.8912847283529164, 1.4114067594499276
0.8418136695747085, 1.273785009250193
0.8337932109328843, 1.1394410325421436
0.9580776995522726, 1.1347188515987328
0.9567169658330528, 1.160473792154655
0.9803941467738748, 1.160427398798018
0.9495508491382278, 1.2108727180656038
0.8859287810197318, 1.2132367081220992
0.9408893751446554, 1.2579155816955425
1.0457652858602262, 1.2162825148305991
1.0479337610566082, 1.3651935912962745
1.419374714895736, 1.365585449469298
1.4156849932506983, 1.2077200409462794
1.3798906545864436, 1.4675522481878889
1.4851186577407776, 1.5020556502810782
1.5769091565263174, 1.5108331076662431
1.578052421386301, 1.4380527009891206
1.6417521569545244, 1.4524835202616253
1.5889703936859467, 1.5589550310643907
1.6451519201205809, 1.5476483072897111
1.877204655283379, 1.486731758893311
1.8874184427054983, 1.4553611510523161
1.8235840835577486, 1.4118193289428784
1.8440530810418414, 1.3580353449030216
