ad_am,kwm_kfm
1.4912854532491138, 1.2355635110036651
1.4885173853408378, 1.276996506518111
1.5788850164473764, 1.298093056995999
1.6232952642013636, 1.3013650313181044
1.670763538342607, 1.3259046316206968
1.6972139650216866, 1.2855448967048804
1.6229172826126912, 1.2196302925836386
1.5680395337674766, 1.192865882294462
1.5251091098222909, 1.1895910083875665
1.526469843541511, 1.1638360678316435
1.5529513372004815, 1.1301942566474275
1.5590207895051593, 1.1626526230110008
1.601894257320545, 1.153611303409963
1.5928082012684643, 1.108842542708036
1.6344452032841934, 1.1524278585893204
1.6610820318426183, 1.152375666063104
1.6716220225535912, 1.1915432574039082
1.6865859512010228, 1.2273431881245431
1.72356083510113, 1.222792082683731
1.7219412098828197, 1.1925643254763212
1.7395230493690548, 1.154461295979777
1.6892038620398262, 1.1534402279073641
1.6519804423005926, 1.1042479434953767
1.6845520995841676, 1.107543114495801
1.730416281997047, 1.1052139194567834
1.7586209574739642, 1.12419294458531
1.7985347776717466, 1.1151574241538518
1.8018465177281127, 1.1912880939424046
1.7725089330511756, 1.2473287834015339
1.831753663703049, 1.2584093395626077
1.8730748180898877, 1.2336957641726265
1.8744200183191615, 1.2045818617509036
1.8757703963784178, 1.1765876132844473
1.9261361841774831, 1.18768556695426
1.9366036852687105, 1.2111780029213315
1.95575854950342, 1.1932258450347974
1.957507620471275, 1.2514449511238739
2.0181545074822225, 1.2457277983711579
2.0551708140221843, 1.2501339245724794
2.0342668788196203, 1.209866976369937
2.041500307304209, 1.1740235518774549
1.9866950480787398, 1.1629342969620113
1.9887547888455037, 1.2883326403670872
1.948846146477703, 1.298487814753812
1.9028162735054055, 1.2649880832242966
1.8703274615015388, 1.279607375508139
1.8926439087231413, 1.305315922707425
1.8601550967192741, 1.3199352149912673
1.8171677166442897, 1.304344147576439
1.8040149929244946, 1.34019917040808
1.8086149770803353, 1.374899744266977
1.8766195604954343, 1.360210861948179
1.9283771489936106, 1.3522717987936688
1.9772320460039832, 1.3566547283166719
1.9537205556225792, 1.392530048241842
1.9063558380809709, 1.3903835270445823
1.9686689507800654, 1.4249710170966765
